时间,门店代码,门店名称,省,市,区,门店类型,门店级别,门店状态,开店日期,二级渠道,门店面积,客流量,客单价,转化率,GMV,grade,二级渠道Type,门店级别Type,门店类型Type,Date,year,month,销售时长,修正转化率,开店时长,binned_data
2024年1月,JM19615,小米之家广东惠州惠东县天虹购物中心专卖店,广东,惠州市,惠东县,专卖店,体验店-B1,营业中,2022/7/12,米家专卖店,84,4745,1591.71,9.93,735593.42,B,2,8,2,2024/1/1,2024,1,0.24,9.93,1.72,Low
2023年1月,JM19615,小米之家广东惠州惠东县天虹购物中心专卖店,广东,惠州市,惠东县,专卖店,体验店-B1,营业中,2022/7/12,米家专卖店,84,4242,1406.28,6.74,394625.63,B,2,8,2,2023/1/1,2023,1,1.24,6.74,1.72,Low
2024年3月,JM19615,小米之家广东惠州惠东县天虹购物中心专卖店,广东,惠州市,惠东县,专卖店,体验店-B1,营业中,2022/7/12,米家专卖店,84,4787,1216.7,7.92,441322.04,B,2,8,2,2024/3/1,2024,3,0.08,7.92,1.72,Low
2023年3月,JM19615,小米之家广东惠州惠东县天虹购物中心专卖店,广东,惠州市,惠东县,专卖店,体验店-B1,营业中,2022/7/12,米家专卖店,84,2330,1243.34,8.88,233680.71,B,2,8,2,2023/3/1,2023,3,1.08,8.88,1.72,Low
2023年8月,JM19615,小米之家广东惠州惠东县天虹购物中心专卖店,广东,惠州市,惠东县,专卖店,体验店-B1,营业中,2022/7/12,米家专卖店,84,4600,1105.48,7.41,365231.09,B,2,8,2,2023/8/1,2023,8,0.66,7.41,1.72,Low
2023年9月,JM19615,小米之家广东惠州惠东县天虹购物中心专卖店,广东,惠州市,惠东县,专卖店,体验店-B1,营业中,2022/7/12,米家专卖店,84,4270,866.42,8.24,303495.06,B,2,8,2,2023/9/1,2023,9,0.58,8.24,1.72,Low
2023年11月,JM19615,小米之家广东惠州惠东县天虹购物中心专卖店,广东,惠州市,惠东县,专卖店,体验店-B1,营业中,2022/7/12,米家专卖店,84,5089,1542.49,6.46,504278.18,B,2,8,2,2023/11/1,2023,11,0.41,6.46,1.72,Low
2023年12月,JM19615,小米之家广东惠州惠东县天虹购物中心专卖店,广东,惠州市,惠东县,专卖店,体验店-B1,营业中,2022/7/12,米家专卖店,84,5215,1479.38,9.11,701866.15,B,2,8,2,2023/12/1,2023,12,0.33,9.11,1.72,Low
2023年8月,JM11755,小米之家广东惠州惠阳区大亚湾万达广场专卖店,广东,惠州市,惠阳区,专卖店,A-形象店-MES Plus,营业中,2020/10/1,米家专卖店,154,21592,1184.23,5.45,1360521.55,B,2,5,2,2023/8/1,2023,8,0.66,5.45,3.5,Low
2023年6月,JM11755,小米之家广东惠州惠阳区大亚湾万达广场专卖店,广东,惠州市,惠阳区,专卖店,A-形象店-MES Plus,营业中,2020/10/1,米家专卖店,154,16092,1760.71,7.84,2234077.46,B,2,5,2,2023/6/1,2023,6,0.83,7.84,3.5,Low
2024年2月,JM11755,小米之家广东惠州惠阳区大亚湾万达广场专卖店,广东,惠州市,惠阳区,专卖店,A-形象店-MES Plus,营业中,2020/10/1,米家专卖店,154,21523,1271.13,7.24,1937162.71,B,2,5,2,2024/2/1,2024,2,0.16,7.24,3.5,Low
2024年1月,JM11755,小米之家广东惠州惠阳区大亚湾万达广场专卖店,广东,惠州市,惠阳区,专卖店,A-形象店-MES Plus,营业中,2020/10/1,米家专卖店,154,19522,1577.37,6.13,1843187.72,B,2,5,2,2024/1/1,2024,1,0.24,6.13,3.5,Low
2023年3月,JM11755,小米之家广东惠州惠阳区大亚湾万达广场专卖店,广东,惠州市,惠阳区,专卖店,A-形象店-MES Plus,营业中,2020/10/1,米家专卖店,154,12165,1167.57,7.35,1020052.39,B,2,5,2,2023/3/1,2023,3,1.08,7.35,3.5,Low
2023年12月,JM11755,小米之家广东惠州惠阳区大亚湾万达广场专卖店,广东,惠州市,惠阳区,专卖店,A-形象店-MES Plus,营业中,2020/10/1,米家专卖店,154,22520,1814.37,5.41,2194342.6,B,2,5,2,2023/12/1,2023,12,0.33,5.41,3.5,Low
2023年10月,JM11755,小米之家广东惠州惠阳区大亚湾万达广场专卖店,广东,惠州市,惠阳区,专卖店,A-形象店-MES Plus,营业中,2020/10/1,米家专卖店,154,21708,1397.02,5.5,1658364.48,B,2,5,2,2023/10/1,2023,10,0.5,5.5,3.5,Low
2023年5月,JM11755,小米之家广东惠州惠阳区大亚湾万达广场专卖店,广东,惠州市,惠阳区,专卖店,A-形象店-MES Plus,营业中,2020/10/1,米家专卖店,154,14881,1443.8,6.4,1356690.11,B,2,5,2,2023/5/1,2023,5,0.92,6.4,3.5,Low
2023年7月,JM11755,小米之家广东惠州惠阳区大亚湾万达广场专卖店,广东,惠州市,惠阳区,专卖店,A-形象店-MES Plus,营业中,2020/10/1,米家专卖店,154,19666,1999.59,7.96,3114128.8,B,2,5,2,2023/7/1,2023,7,0.75,7.96,3.5,Low
2023年11月,JM11755,小米之家广东惠州惠阳区大亚湾万达广场专卖店,广东,惠州市,惠阳区,专卖店,A-形象店-MES Plus,营业中,2020/10/1,米家专卖店,154,21899,1950.19,5.9,3071449.9,B,2,5,2,2023/11/1,2023,11,0.41,5.9,3.5,Low
2024年3月,JM20888,小米之家广东佛山顺德区欢乐海岸PLUS专卖店,广东,佛山市,顺德区,专卖店,体验店-B1,营业中,2024/2/7,米家专卖店,103,7159,819.65,6.16,354558.12,B,2,8,2,2024/3/1,2024,3,0.08,6.16,0.14,Low
2024年2月,JM19926,小米之家广东广州黄埔区绿地缤纷城专卖店,广东,广州市,黄埔区,专卖店,体验店-B1,营业中,2021/5/1,米家专卖店,120,6300,1681.84,11.14,1268501.4,B,2,8,2,2024/2/1,2024,2,0.16,11.14,2.92,Low
2023年10月,JM19926,小米之家广东广州黄埔区绿地缤纷城专卖店,广东,广州市,黄埔区,专卖店,体验店-B1,营业中,2021/5/1,米家专卖店,120,8160,1242.33,9.07,919215.58,B,2,8,2,2023/10/1,2023,10,0.5,9.07,2.92,Low
2023年12月,JM19926,小米之家广东广州黄埔区绿地缤纷城专卖店,广东,广州市,黄埔区,专卖店,体验店-B1,营业中,2021/5/1,米家专卖店,120,8400,1998.05,8.01,1334382.92,B,2,8,2,2023/12/1,2023,12,0.33,8.01,2.92,Low
2023年8月,JM70108,小米之家广东深圳龙岗区仁恒梦中心专卖店,广东,深圳市,龙岗区,专卖店,体验店-B1,营业中,2022/12/29,米家专卖店,98,7385,1430.81,10.18,1013933.13,B,2,8,2,2023/8/1,2023,8,0.66,10.18,1.25,Low
2023年2月,JM19740,小米之家广东广州黄埔区佳纷天地专卖店,广东,广州市,黄埔区,专卖店,体验店-B1,营业中,2021/7/22,米家专卖店,115.35,1739,766.73,21.05,281490.34,B,2,8,2,2023/2/1,2023,2,1.16,20,2.69,Low
2023年12月,JM19740,小米之家广东广州黄埔区佳纷天地专卖店,广东,广州市,黄埔区,专卖店,体验店-B1,营业中,2021/7/22,米家专卖店,115.35,5044,831.01,8.37,331770.78,B,2,8,2,2023/12/1,2023,12,0.33,8.37,2.69,Low
2024年1月,JM70108,小米之家广东深圳龙岗区仁恒梦中心专卖店,广东,深圳市,龙岗区,专卖店,体验店-B1,营业中,2022/12/29,米家专卖店,98,4677,1164.45,12.72,678989.99,B,2,8,2,2024/1/1,2024,1,0.24,12.72,1.25,Low
2023年1月,JM70108,小米之家广东深圳龙岗区仁恒梦中心专卖店,广东,深圳市,龙岗区,专卖店,体验店-B1,营业中,2022/12/29,米家专卖店,98,7155,772.99,6.9,367279.84,B,2,8,2,2023/1/1,2023,1,1.24,6.9,1.25,Low
2023年7月,JM70108,小米之家广东深圳龙岗区仁恒梦中心专卖店,广东,深圳市,龙岗区,专卖店,体验店-B1,营业中,2022/12/29,米家专卖店,98,6450,1107.16,9.29,637541.86,B,2,8,2,2023/7/1,2023,7,0.75,9.29,1.25,Low
2024年2月,JM19740,小米之家广东广州黄埔区佳纷天地专卖店,广东,广州市,黄埔区,专卖店,体验店-B1,营业中,2021/7/22,米家专卖店,115.35,3555,608.86,9.82,212143.85,B,2,8,2,2024/2/1,2024,2,0.16,9.82,2.69,Low
2023年4月,JM19740,小米之家广东广州黄埔区佳纷天地专卖店,广东,广州市,黄埔区,专卖店,体验店-B1,营业中,2021/7/22,米家专卖店,115.35,2132,620.25,14.73,192183.73,B,2,8,2,2023/4/1,2023,4,1,14.73,2.69,Low
2023年8月,JM19740,小米之家广东广州黄埔区佳纷天地专卖店,广东,广州市,黄埔区,专卖店,体验店-B1,营业中,2021/7/22,米家专卖店,115.35,3058,566.16,12.56,211920.81,B,2,8,2,2023/8/1,2023,8,0.66,12.56,2.69,Low
2023年5月,JM19740,小米之家广东广州黄埔区佳纷天地专卖店,广东,广州市,黄埔区,专卖店,体验店-B1,营业中,2021/7/22,米家专卖店,115.35,2112,1085.45,17.33,387711.13,B,2,8,2,2023/5/1,2023,5,0.92,17.33,2.69,Low
2023年11月,JM70108,小米之家广东深圳龙岗区仁恒梦中心专卖店,广东,深圳市,龙岗区,专卖店,体验店-B1,营业中,2022/12/29,米家专卖店,98,5729,1481.64,11.47,939316.01,B,2,8,2,2023/11/1,2023,11,0.41,11.47,1.25,Low
2024年3月,JM70108,小米之家广东深圳龙岗区仁恒梦中心专卖店,广东,深圳市,龙岗区,专卖店,体验店-B1,营业中,2022/12/29,米家专卖店,98,5460,1259.13,10.84,723034.63,B,2,8,2,2024/3/1,2024,3,0.08,10.84,1.25,Low
2023年11月,JM19740,小米之家广东广州黄埔区佳纷天地专卖店,广东,广州市,黄埔区,专卖店,体验店-B1,营业中,2021/7/22,米家专卖店,115.35,4565,743.3,6.86,227376.24,B,2,8,2,2023/11/1,2023,11,0.41,6.86,2.69,Low
2023年3月,JM19740,小米之家广东广州黄埔区佳纷天地专卖店,广东,广州市,黄埔区,专卖店,体验店-B1,营业中,2021/7/22,米家专卖店,115.35,1977,755.45,16.59,237435.65,B,2,8,2,2023/3/1,2023,3,1.08,16.59,2.69,Low
2023年10月,JM19740,小米之家广东广州黄埔区佳纷天地专卖店,广东,广州市,黄埔区,专卖店,体验店-B1,营业中,2021/7/22,米家专卖店,115.35,2775,695.18,11.35,216448.57,B,2,8,2,2023/10/1,2023,10,0.5,11.35,2.69,Low
2024年3月,JM72509,小米之家广东汕头澄海区益民路专卖店,广东,汕头市,澄海区,专卖店,体验店-B2,营业中,2023/12/7,米家专卖店,135,1543,1026.55,14.71,227854.07,B,2,9,2,2024/3/1,2024,3,0.08,14.71,0.31,Low
2023年12月,JM72509,小米之家广东汕头澄海区益民路专卖店,广东,汕头市,澄海区,专卖店,体验店-B2,营业中,2023/12/7,米家专卖店,135,1093,1308.87,11.34,162201.22,B,2,9,2,2023/12/1,2023,12,0.33,11.34,0.31,Low
2023年12月,JM20749,小米之家广东深圳南山区方大城购物中心专卖店,广东,深圳市,南山区,专卖店,体验店-B1,营业中,2023/11/15,米家专卖店,103,6370,1293.43,10.36,810627.79,B,2,8,2,2023/12/1,2023,12,0.33,10.36,0.37,Low
2024年3月,JM20749,小米之家广东深圳南山区方大城购物中心专卖店,广东,深圳市,南山区,专卖店,体验店-B1,营业中,2023/11/15,米家专卖店,103,5054,1129.13,12.64,668855.97,B,2,8,2,2024/3/1,2024,3,0.08,12.64,0.37,Low
2024年1月,JM20749,小米之家广东深圳南山区方大城购物中心专卖店,广东,深圳市,南山区,专卖店,体验店-B1,营业中,2023/11/15,米家专卖店,103,5738,1409.64,11.85,974046.33,B,2,8,2,2024/1/1,2024,1,0.24,11.85,0.37,Low
2024年2月,JM20749,小米之家广东深圳南山区方大城购物中心专卖店,广东,深圳市,南山区,专卖店,体验店-B1,营业中,2023/11/15,米家专卖店,103,4981,1293.07,10.18,626736.64,B,2,8,2,2024/2/1,2024,2,0.16,10.18,0.37,Low
2024年2月,JM71269,小米之家广东深圳龙岗万科广场专卖店,广东,深圳市,龙岗区,专卖店,体验店-B1,营业中,2023/9/18,米家专卖店,120,6105,1207.96,13.37,1049781.6,B,2,8,2,2024/2/1,2024,2,0.16,13.37,0.53,Low
2023年9月,JM71269,小米之家广东深圳龙岗万科广场专卖店,广东,深圳市,龙岗区,专卖店,体验店-B1,营业中,2023/9/18,米家专卖店,120,4226,931.01,12.52,487882.83,B,2,8,2,2023/9/1,2023,9,0.58,12.52,0.53,Low
2024年1月,JM71269,小米之家广东深圳龙岗万科广场专卖店,广东,深圳市,龙岗区,专卖店,体验店-B1,营业中,2023/9/18,米家专卖店,120,6069,1469.99,14.29,1290360.89,B,2,8,2,2024/1/1,2024,1,0.24,14.29,0.53,Low
2024年3月,JM71269,小米之家广东深圳龙岗万科广场专卖店,广东,深圳市,龙岗区,专卖店,体验店-B1,营业中,2023/9/18,米家专卖店,120,6428,1325.1,11.25,1022111.24,B,2,8,2,2024/3/1,2024,3,0.08,11.25,0.53,Low
2023年10月,JM71269,小米之家广东深圳龙岗万科广场专卖店,广东,深圳市,龙岗区,专卖店,体验店-B1,营业中,2023/9/18,米家专卖店,120,8127,1472.85,10.05,1215803.61,B,2,8,2,2023/10/1,2023,10,0.5,10.05,0.53,Low
2023年4月,JM18613,小米之家广东惠州惠阳区东晟购物广场专卖店,广东,惠州市,惠阳区,专卖店,体验店-B1,营业中,2021/12/22,米家专卖店,82,1408,1395.97,28.41,558078.96,B,2,8,2,2023/4/1,2023,4,1,20,2.27,Low
2024年1月,JM18613,小米之家广东惠州惠阳区东晟购物广场专卖店,广东,惠州市,惠阳区,专卖店,体验店-B1,营业中,2021/12/22,米家专卖店,82,1799,2353.94,42.19,1636123,B,2,8,2,2024/1/1,2024,1,0.24,20,2.27,Low
2024年2月,JM18613,小米之家广东惠州惠阳区东晟购物广场专卖店,广东,惠州市,惠阳区,专卖店,体验店-B1,营业中,2021/12/22,米家专卖店,82,1451,2299.92,59.48,1834568.22,B,2,8,2,2024/2/1,2024,2,0.16,20,2.27,Low
2023年9月,JM18613,小米之家广东惠州惠阳区东晟购物广场专卖店,广东,惠州市,惠阳区,专卖店,体验店-B1,营业中,2021/12/22,米家专卖店,82,2120,1292.91,24.48,641341.98,B,2,8,2,2023/9/1,2023,9,0.58,20,2.27,Low
2023年3月,JM18613,小米之家广东惠州惠阳区东晟购物广场专卖店,广东,惠州市,惠阳区,专卖店,体验店-B1,营业中,2021/12/22,米家专卖店,82,1287,935.09,19.11,229904.49,B,2,8,2,2023/3/1,2023,3,1.08,19.11,2.27,Low
2024年3月,JM18613,小米之家广东惠州惠阳区东晟购物广场专卖店,广东,惠州市,惠阳区,专卖店,体验店-B1,营业中,2021/12/22,米家专卖店,82,1539,2406.49,40.61,1422545.33,B,2,8,2,2024/3/1,2024,3,0.08,20,2.27,Low
2023年8月,JM18613,小米之家广东惠州惠阳区东晟购物广场专卖店,广东,惠州市,惠阳区,专卖店,体验店-B1,营业中,2021/12/22,米家专卖店,82,2226,2385.71,31.99,1599421.24,B,2,8,2,2023/8/1,2023,8,0.66,20,2.27,Low
2023年7月,JM18613,小米之家广东惠州惠阳区东晟购物广场专卖店,广东,惠州市,惠阳区,专卖店,体验店-B1,营业中,2021/12/22,米家专卖店,82,2071,3141.5,48.19,3040974.01,B,2,8,2,2023/7/1,2023,7,0.75,20,2.27,Low
2024年3月,JM20844,小米之家广东惠州惠城区汇乐城专卖店,广东,惠州市,惠城区,专卖店,体验店-B1,营业中,2024/1/5,米家专卖店,121,3786,1004.91,10.09,367666.76,B,2,8,2,2024/3/1,2024,3,0.08,10.09,0.23,Low
2024年2月,JM72892,小米之家广东汕头澄海中骏世界城专卖店,广东,汕头市,澄海区,专卖店,体验店-B1,营业中,2024/1/15,米家专卖店,100,9193,972.66,3.91,333650.68,B,2,8,2,2024/2/1,2024,2,0.16,3.91,0.21,Low
2023年7月,JM14021,小米之家广东深圳龙岗区布吉佳兆业广场专卖店,广东,深圳市,龙岗区,专卖店,体验店-B1,营业中,2021/2/6,米家专卖店,89,4362,808.12,13.82,481361.98,B,2,8,2,2023/7/1,2023,7,0.75,13.82,3.15,Low
2024年3月,JM14021,小米之家广东深圳龙岗区布吉佳兆业广场专卖店,广东,深圳市,龙岗区,专卖店,体验店-B1,营业中,2021/2/6,米家专卖店,89,5759,890.59,9.95,500034.82,B,2,8,2,2024/3/1,2024,3,0.08,9.95,3.15,Low
2023年8月,JM14021,小米之家广东深圳龙岗区布吉佳兆业广场专卖店,广东,深圳市,龙岗区,专卖店,体验店-B1,营业中,2021/2/6,米家专卖店,89,4421,815.08,14.34,500216.16,B,2,8,2,2023/8/1,2023,8,0.66,14.34,3.15,Low
2023年1月,JM14021,小米之家广东深圳龙岗区布吉佳兆业广场专卖店,广东,深圳市,龙岗区,专卖店,体验店-B1,营业中,2021/2/6,米家专卖店,89,2395,1026.61,18.08,437291.78,B,2,8,2,2023/1/1,2023,1,1.24,18.08,3.15,Low
2023年9月,JM14021,小米之家广东深圳龙岗区布吉佳兆业广场专卖店,广东,深圳市,龙岗区,专卖店,体验店-B1,营业中,2021/2/6,米家专卖店,89,3570,755.45,16.16,425833.69,B,2,8,2,2023/9/1,2023,9,0.58,16.16,3.15,Low
2023年10月,JM14021,小米之家广东深圳龙岗区布吉佳兆业广场专卖店,广东,深圳市,龙岗区,专卖店,体验店-B1,营业中,2021/2/6,米家专卖店,89,4367,851.66,14.93,545901.75,B,2,8,2,2023/10/1,2023,10,0.5,14.93,3.15,Low
2023年11月,JM72041,小米之家广东东莞黄江镇公常路专卖店,广东,东莞市,东莞市,专卖店,专卖店-C2,营业中,2023/10/10,米家专卖店,68,600,2339.81,41.67,578204.41,C,2,12,2,2023/11/1,2023,11,0.41,20,0.47,Low
2024年1月,JM72041,小米之家广东东莞黄江镇公常路专卖店,广东,东莞市,东莞市,专卖店,专卖店-C2,营业中,2023/10/10,米家专卖店,68,2057,1639.1,12.2,408016.64,C,2,12,2,2024/1/1,2024,1,0.24,12.2,0.47,Low
2023年10月,JM72041,小米之家广东东莞黄江镇公常路专卖店,广东,东莞市,东莞市,专卖店,专卖店-C2,营业中,2023/10/10,米家专卖店,68,0,1960.78,0,239215.63,C,2,12,2,2023/10/1,2023,10,0.5,0,0.47,Low
2023年8月,JM11444,小米之家广东深圳宝安区大仟里专卖店,广东,深圳市,宝安区,专卖店,A-形象店-MES Plus,营业中,2020/5/1,米家专卖店,128,33507,1062.9,5.88,2265154.63,B,2,5,2,2023/8/1,2023,8,0.66,5.88,3.92,Low
2023年10月,JM11444,小米之家广东深圳宝安区大仟里专卖店,广东,深圳市,宝安区,专卖店,A-形象店-MES Plus,营业中,2020/5/1,米家专卖店,128,36146,1065.55,6.84,2614350.19,B,2,5,2,2023/10/1,2023,10,0.5,6.84,3.92,Low
2024年1月,JM11444,小米之家广东深圳宝安区大仟里专卖店,广东,深圳市,宝安区,专卖店,A-形象店-MES Plus,营业中,2020/5/1,米家专卖店,128,25581,1282.84,7.25,2329386.28,B,2,5,2,2024/1/1,2024,1,0.24,7.25,3.92,Low
2024年2月,JM11444,小米之家广东深圳宝安区大仟里专卖店,广东,深圳市,宝安区,专卖店,A-形象店-MES Plus,营业中,2020/5/1,米家专卖店,128,23276,1093.97,8.32,2046444.89,B,2,5,2,2024/2/1,2024,2,0.16,8.32,3.92,Low
2023年7月,JM11444,小米之家广东深圳宝安区大仟里专卖店,广东,深圳市,宝安区,专卖店,A-形象店-MES Plus,营业中,2020/5/1,米家专卖店,128,30881,979.51,6.01,2011106.02,B,2,5,2,2023/7/1,2023,7,0.75,6.01,3.92,Low
2023年1月,JM11444,小米之家广东深圳宝安区大仟里专卖店,广东,深圳市,宝安区,专卖店,A-形象店-MES Plus,营业中,2020/5/1,米家专卖店,128,29203,1237.22,7.37,2641108.94,B,2,5,2,2023/1/1,2023,1,1.24,7.37,3.92,Low
2023年5月,JM11444,小米之家广东深圳宝安区大仟里专卖店,广东,深圳市,宝安区,专卖店,A-形象店-MES Plus,营业中,2020/5/1,米家专卖店,128,22873,1137.38,6.95,1778990.73,B,2,5,2,2023/5/1,2023,5,0.92,6.95,3.92,Low
2023年4月,JM11444,小米之家广东深圳宝安区大仟里专卖店,广东,深圳市,宝安区,专卖店,A-形象店-MES Plus,营业中,2020/5/1,米家专卖店,128,25340,1180.44,6.09,2060201.48,B,2,5,2,2023/4/1,2023,4,1,6.09,3.92,Low
2023年11月,JM15370,小米之家广东东莞麻涌嘉荣购物广场专卖店,广东,东莞市,麻涌镇,专卖店,体验店-B1,营业中,2021/3/29,米家专卖店,100,2139,1382.11,24.96,702848.59,B,2,8,2,2023/11/1,2023,11,0.41,20,3.01,Low
2023年3月,JM15370,小米之家广东东莞麻涌嘉荣购物广场专卖店,广东,东莞市,麻涌镇,专卖店,体验店-B1,营业中,2021/3/29,米家专卖店,100,1381,1221.72,16.58,273466.4,B,2,8,2,2023/3/1,2023,3,1.08,16.58,3.01,Low
2023年12月,JM15370,小米之家广东东莞麻涌嘉荣购物广场专卖店,广东,东莞市,麻涌镇,专卖店,体验店-B1,营业中,2021/3/29,米家专卖店,100,1802,2051.21,15.09,546082.05,B,2,8,2,2023/12/1,2023,12,0.33,15.09,3.01,Low
2024年1月,JM15370,小米之家广东东莞麻涌嘉荣购物广场专卖店,广东,东莞市,麻涌镇,专卖店,体验店-B1,营业中,2021/3/29,米家专卖店,100,1529,1421.84,17.14,354584.18,B,2,8,2,2024/1/1,2024,1,0.24,17.14,3.01,Low
2023年10月,JM15370,小米之家广东东莞麻涌嘉荣购物广场专卖店,广东,东莞市,麻涌镇,专卖店,体验店-B1,营业中,2021/3/29,米家专卖店,100,1925,1195.77,19.43,443601.61,B,2,8,2,2023/10/1,2023,10,0.5,19.43,3.01,Low
2023年7月,JM15370,小米之家广东东莞麻涌嘉荣购物广场专卖店,广东,东莞市,麻涌镇,专卖店,体验店-B1,营业中,2021/3/29,米家专卖店,100,1753,1521.16,16.66,430588.47,B,2,8,2,2023/7/1,2023,7,0.75,16.66,3.01,Low
2023年5月,JM15370,小米之家广东东莞麻涌嘉荣购物广场专卖店,广东,东莞市,麻涌镇,专卖店,体验店-B1,营业中,2021/3/29,米家专卖店,100,1482,1410.68,17.88,361083.69,B,2,8,2,2023/5/1,2023,5,0.92,17.88,3.01,Low
2024年2月,JM15370,小米之家广东东莞麻涌嘉荣购物广场专卖店,广东,东莞市,麻涌镇,专卖店,体验店-B1,营业中,2021/3/29,米家专卖店,100,1463,1706.58,18.73,458552.37,B,2,8,2,2024/2/1,2024,2,0.16,18.73,3.01,Low
2023年4月,JM15370,小米之家广东东莞麻涌嘉荣购物广场专卖店,广东,东莞市,麻涌镇,专卖店,体验店-B1,营业中,2021/3/29,米家专卖店,100,1497,1234.53,23.11,417202.33,B,2,8,2,2023/4/1,2023,4,1,20,3.01,Low
2023年9月,JM20002,小米之家广东东莞大岭山天和百货专卖店,广东,东莞市,大岭山镇,专卖店,体验店-B1,营业中,2022/9/30,米家专卖店,80,6470,1337.27,11.1,919569.75,B,2,8,2,2023/9/1,2023,9,0.58,11.1,1.5,Low
2023年10月,JM20136,小米之家广东广州海珠区万达广场专卖店,广东,广州市,海珠区,专卖店,体验店-B1,营业中,2021/5/1,米家专卖店,105,31520,1865.54,3.11,2096188.65,B,2,8,2,2023/10/1,2023,10,0.5,3.11,2.92,Low
2023年9月,JM20136,小米之家广东广州海珠区万达广场专卖店,广东,广州市,海珠区,专卖店,体验店-B1,营业中,2021/5/1,米家专卖店,105,23560,1205.94,3.33,1211637.72,B,2,8,2,2023/9/1,2023,9,0.58,3.33,2.92,Low
2023年12月,JM20136,小米之家广东广州海珠区万达广场专卖店,广东,广州市,海珠区,专卖店,体验店-B1,营业中,2021/5/1,米家专卖店,105,21003,1885.93,4.2,2863800.33,B,2,8,2,2023/12/1,2023,12,0.33,4.2,2.92,Low
2023年2月,JM20002,小米之家广东东莞大岭山天和百货专卖店,广东,东莞市,大岭山镇,专卖店,体验店-B1,营业中,2022/9/30,米家专卖店,80,5017,1295.93,9.87,615963.8,B,2,8,2,2023/2/1,2023,2,1.16,9.87,1.5,Low
2023年1月,JM20136,小米之家广东广州海珠区万达广场专卖店,广东,广州市,海珠区,专卖店,体验店-B1,营业中,2021/5/1,米家专卖店,105,9171,1347.07,5.89,677188.61,B,2,8,2,2023/1/1,2023,1,1.24,5.89,2.92,Low
2024年1月,JM20136,小米之家广东广州海珠区万达广场专卖店,广东,广州市,海珠区,专卖店,体验店-B1,营业中,2021/5/1,米家专卖店,105,19197,2432.1,5.52,2461256.67,B,2,8,2,2024/1/1,2024,1,0.24,5.52,2.92,Low
2023年6月,JM20002,小米之家广东东莞大岭山天和百货专卖店,广东,东莞市,大岭山镇,专卖店,体验店-B1,营业中,2022/9/30,米家专卖店,80,6449,1368.37,9.61,803871.4,B,2,8,2,2023/6/1,2023,6,0.83,9.61,1.5,Low
2023年5月,JM20002,小米之家广东东莞大岭山天和百货专卖店,广东,东莞市,大岭山镇,专卖店,体验店-B1,营业中,2022/9/30,米家专卖店,80,6210,1472.49,9.79,864871.29,B,2,8,2,2023/5/1,2023,5,0.92,9.79,1.5,Low
2023年4月,JM20002,小米之家广东东莞大岭山天和百货专卖店,广东,东莞市,大岭山镇,专卖店,体验店-B1,营业中,2022/9/30,米家专卖店,80,5514,1450.55,11.97,926938.95,B,2,8,2,2023/4/1,2023,4,1,11.97,1.5,Low
2023年7月,JM20002,小米之家广东东莞大岭山天和百货专卖店,广东,东莞市,大岭山镇,专卖店,体验店-B1,营业中,2022/9/30,米家专卖店,80,7750,1383.14,9.15,955513.13,B,2,8,2,2023/7/1,2023,7,0.75,9.15,1.5,Low
2023年7月,JM20136,小米之家广东广州海珠区万达广场专卖店,广东,广州市,海珠区,专卖店,体验店-B1,营业中,2021/5/1,米家专卖店,105,22613,1483.35,4.24,1376192.98,B,2,8,2,2023/7/1,2023,7,0.75,4.24,2.92,Low
2023年3月,JM20136,小米之家广东广州海珠区万达广场专卖店,广东,广州市,海珠区,专卖店,体验店-B1,营业中,2021/5/1,米家专卖店,105,12499,1434.02,5.64,1226122.92,B,2,8,2,2023/3/1,2023,3,1.08,5.64,2.92,Low
2023年3月,JM20002,小米之家广东东莞大岭山天和百货专卖店,广东,东莞市,大岭山镇,专卖店,体验店-B1,营业中,2022/9/30,米家专卖店,80,4275,1192.83,10.29,502977.29,B,2,8,2,2023/3/1,2023,3,1.08,10.29,1.5,Low
2024年2月,JM20002,小米之家广东东莞大岭山天和百货专卖店,广东,东莞市,大岭山镇,专卖店,体验店-B1,营业中,2022/9/30,米家专卖店,80,3829,1107.36,13.55,559651.56,B,2,8,2,2024/2/1,2024,2,0.16,13.55,1.5,Low
2023年8月,JM20002,小米之家广东东莞大岭山天和百货专卖店,广东,东莞市,大岭山镇,专卖店,体验店-B1,营业中,2022/9/30,米家专卖店,80,6493,1550.32,10.86,1029501.76,B,2,8,2,2023/8/1,2023,8,0.66,10.86,1.5,Low
2024年1月,JM11542,小米之家广东佛山南海区黄岐嘉洲广场专卖店,广东,佛山市,南海区,专卖店,体验店-B1,营业中,2020/6/6,米家专卖店,80,8311,1325.45,8.64,924640.07,B,2,8,2,2024/1/1,2024,1,0.24,8.64,3.82,Low
2023年12月,JM11542,小米之家广东佛山南海区黄岐嘉洲广场专卖店,广东,佛山市,南海区,专卖店,体验店-B1,营业中,2020/6/6,米家专卖店,80,7866,1377.18,8.84,906203.9,B,2,8,2,2023/12/1,2023,12,0.33,8.84,3.82,Low
2024年3月,JM11542,小米之家广东佛山南海区黄岐嘉洲广场专卖店,广东,佛山市,南海区,专卖店,体验店-B1,营业中,2020/6/6,米家专卖店,80,7610,1109.15,8.65,691292.77,B,2,8,2,2024/3/1,2024,3,0.08,8.65,3.82,Low
