时间,门店代码,门店名称,省,市,区,门店类型,门店级别,门店状态,开店日期,二级渠道,门店面积,客流量,客单价,转化率,GMV,grade,二级渠道Type,门店级别Type,门店类型Type,Date,year,month,销售时长,修正转化率,开店时长,binned_data
2023年3月,JM13809,小米之家广东广州番禺区建华汇专卖店,广东,广州市,番禺区,专卖店,A-形象店-MES Plus,营业中,2021/1/9,米家专卖店,84,8391,1892.06,16.24,2968482.48,B,2,5,2,2023/3/1,2023,3,1.08,16.24,3.22,Low
2023年7月,JM19152,小米之家广东深圳龙华区观澜天虹专卖店,广东,深圳市,龙华区,专卖店,体验店-B1,营业中,2021/12/27,米家专卖店,113,9450,1040.93,4.52,471446.66,B,2,8,2,2023/7/1,2023,7,0.75,4.52,2.26,Low
2024年2月,JM72369,小米之家广东省东莞石碣东风路专卖店,广东,东莞市,东莞市,专卖店,体验店-B2,营业中,2023/11/15,米家专卖店,135,1084,1411.37,12.27,182313.62,B,2,9,2,2024/2/1,2024,2,0.16,12.27,0.37,Low
2023年8月,JM11187,小米之家广东河源源城区坚基购物中心专卖店,广东,河源市,源城区,专卖店,A-形象店-MES Plus,营业中,2018/9/8,米家专卖店,140,20188,1006.37,6.91,1382108.77,B,2,5,2,2023/8/1,2023,8,0.66,6.91,5.56,Low
2023年5月,JM11187,小米之家广东河源源城区坚基购物中心专卖店,广东,河源市,源城区,专卖店,A-形象店-MES Plus,营业中,2018/9/8,米家专卖店,140,15081,1128.49,7.99,1329376.02,B,2,5,2,2023/5/1,2023,5,0.92,7.99,5.56,Low
2023年10月,JM11187,小米之家广东河源源城区坚基购物中心专卖店,广东,河源市,源城区,专卖店,A-形象店-MES Plus,营业中,2018/9/8,米家专卖店,140,15704,1164.43,8.16,1475772.76,B,2,5,2,2023/10/1,2023,10,0.5,8.16,5.56,Low
2023年3月,JM20060,小米之家广东深圳宝安区卓悦时光专卖店,广东,深圳市,宝安区,专卖店,体验店-B1,营业中,2022/7/28,米家专卖店,138,6347,4748.19,5.5,1661459.38,B,2,8,2,2023/3/1,2023,3,1.08,5.5,1.67,Low
2023年6月,JM19704,小米之家广东湛江雷州市世贸广场专卖店,广东,湛江市,雷州市,专卖店,体验店-B1,营业中,2022/7/15,米家专卖店,114.7,1187,1244.98,20.22,291377.32,B,2,8,2,2023/6/1,2023,6,0.83,20,1.71,Low
2024年2月,JM73356,小米之家广东东莞谢岗润升百货专卖店,广东,东莞市,东莞市,专卖店,专卖店-C2,营业中,2024/2/2,米家专卖店,66,582,1438.18,12.37,98035.98,C,2,12,2,2024/2/1,2024,2,0.16,12.37,0.16,Low
2023年6月,JM20675,小米之家广东深圳宝安区万达广场专卖店,广东,深圳市,宝安区,专卖店,体验店-B1,营业中,2023/9/30,米家专卖店,119,0,0,0,0,B,2,8,2,2023/6/1,2023,6,0.83,0,0.5,Low
2024年1月,JM72265,小米之家广东广州天河区利丰天地广场专卖店,广东,广州市,天河区,专卖店,体验店-B1,营业中,2024/1/1,米家专卖店,90,3295,424.91,36.48,624668.11,B,2,8,2,2024/1/1,2024,1,0.24,20,0.24,Low
2024年2月,JM20675,小米之家广东深圳宝安区万达广场专卖店,广东,深圳市,宝安区,专卖店,体验店-B1,营业中,2023/9/30,米家专卖店,119,2517,923.14,29.56,678371.81,B,2,8,2,2024/2/1,2024,2,0.16,20,0.5,Low
2023年8月,JM13809,小米之家广东广州番禺区建华汇专卖店,广东,广州市,番禺区,专卖店,A-形象店-MES Plus,营业中,2021/1/9,米家专卖店,84,10869,1303.3,8.64,1261540.02,B,2,5,2,2023/8/1,2023,8,0.66,8.64,3.22,Low
2023年9月,JM70132,小米之家广东佛山南海区广佛智城专卖店,广东,佛山市,南海区,专卖店,专卖店-C1,营业中,2023/9/12,米家专卖店,129.64,2159,660.05,4.82,68645.28,B,2,11,2,2023/9/1,2023,9,0.58,4.82,0.55,Low
2023年4月,JM20675,小米之家广东深圳宝安区万达广场专卖店,广东,深圳市,宝安区,专卖店,体验店-B1,营业中,2023/9/30,米家专卖店,119,0,0,0,0,B,2,8,2,2023/4/1,2023,4,1,0,0.5,Low
2023年4月,JM72369,小米之家广东省东莞石碣东风路专卖店,广东,东莞市,东莞市,专卖店,体验店-B2,营业中,2023/11/15,米家专卖店,135,0,0,0,0,B,2,9,2,2023/4/1,2023,4,1,0,0.37,Low
2023年2月,JM72265,小米之家广东广州天河区利丰天地广场专卖店,广东,广州市,天河区,专卖店,体验店-B1,营业中,2024/1/1,米家专卖店,90,0,0,0,0,B,2,8,2,2023/2/1,2023,2,1.16,0,0.24,Low
2023年5月,JM20553,小米之家广东珠海香洲区金发购物广场专卖店,广东,珠海市,香洲区,专卖店,体验店-B1,营业中,2023/9/18,米家专卖店,116,0,0,0,0,B,2,8,2,2023/5/1,2023,5,0.92,0,0.53,Low
2023年10月,JM72265,小米之家广东广州天河区利丰天地广场专卖店,广东,广州市,天河区,专卖店,体验店-B1,营业中,2024/1/1,米家专卖店,90,0,9.9,0,9.9,B,2,8,2,2023/10/1,2023,10,0.5,0,0.24,Low
2023年4月,JM20553,小米之家广东珠海香洲区金发购物广场专卖店,广东,珠海市,香洲区,专卖店,体验店-B1,营业中,2023/9/18,米家专卖店,116,0,0,0,0,B,2,8,2,2023/4/1,2023,4,1,0,0.53,Low
2024年1月,JM73356,小米之家广东东莞谢岗润升百货专卖店,广东,东莞市,东莞市,专卖店,专卖店-C2,营业中,2024/2/2,米家专卖店,66,0,13.9,0,13.9,C,2,12,2,2024/1/1,2024,1,0.24,0,0.16,Low
2023年5月,JM19704,小米之家广东湛江雷州市世贸广场专卖店,广东,湛江市,雷州市,专卖店,体验店-B1,营业中,2022/7/15,米家专卖店,114.7,763,1071.73,28.57,214114.64,B,2,8,2,2023/5/1,2023,5,0.92,20,1.71,Low
2023年9月,JM20137,小米之家广东广州白云区亿达广场专卖店,广东,广州市,白云区,专卖店,体验店-B1,营业中,2021/5/9,米家专卖店,94,15954,1169.3,2.97,549123.25,B,2,8,2,2023/9/1,2023,9,0.58,2.97,2.89,Low
2024年3月,JM72104,小米之家广东广州白云区悦和方专卖店,广东,广州市,白云区,专卖店,体验店-B1,营业中,2024/2/2,米家专卖店,122.6,4489,901.03,10.07,384742.14,B,2,8,2,2024/3/1,2024,3,0.08,10.07,0.16,Low
2024年2月,JM72104,小米之家广东广州白云区悦和方专卖店,广东,广州市,白云区,专卖店,体验店-B1,营业中,2024/2/2,米家专卖店,122.6,1294,931.38,34.47,403894.34,B,2,8,2,2024/2/1,2024,2,0.16,20,0.16,Low
